Sector,Institution,Discipline Area,Subject Field,Level of Degree or Certificate,Awards in FY 2002,Awards in FY 2003,Awards in FY 2004,Awards in FY 2005,Awards in FY 2006,Awards in FY 2007,Awards in FY 2008,Awards in FY 2009,Awards in FY 2010,Awards in FY 2011
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Business,Administrative and Secretarial,Associate Degree,0,0,0,0,0,0,0,0,0,10
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Business,Management,Associate Degree,0,0,0,0,0,0,0,0,3,0
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Health,Health Administration and Management,Associate Degree,0,0,0,0,0,0,0,0,4,7
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Health,Health Aides and Assisting,Associate Degree,0,0,0,0,0,0,18,21,38,32
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,0,0,0,0,1,0,0
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Health,Health Information and Insurance,Associate Degree,0,0,0,0,0,0,0,0,0,2
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Health,Health Information and Insurance,One to less than Two-Year Award,0,0,0,0,0,0,0,0,12,27
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Health,Licensed Practical Nurse,One to less than Two-Year Award,0,0,0,0,0,0,9,163,59,49
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Health,Rehabilitation Services,Associate Degree,0,0,0,0,0,0,11,12,12,8
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Natural Science & Mathematics,Computer Science,Associate Degree,0,0,0,0,0,0,0,0,1,0
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Services,Protective Services,Associate Degree,0,0,0,0,0,0,0,0,3,5
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Services,Protective Services,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Services,"Services, Other",Associate Degree,0,0,0,0,0,0,8,17,7,14
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Services,"Services, Other",Less than One-Year Award,0,0,0,0,0,2,8,12,10,10
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Services,"Services, Other",One to less than Two-Year Award,0,0,0,0,0,23,5,9,6,0
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-SPRINGBORO BRANCH,Services,"Services, Other",Two to less than Four-Year Award,0,0,0,0,0,0,0,3,3,0
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-TROY,Health,Health Administration and Management,Associate Degree,0,0,0,0,0,0,99,8,65,86
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-TROY,Health,Health Information and Insurance,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,18
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-TROY,Health,Licensed Practical Nurse,One to less than Two-Year Award,0,0,0,0,0,0,177,150,90,50
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-TROY,Health,Rehabilitation Services,Associate Degree,0,0,0,0,0,0,60,14,22,17
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-TROY,Services,"Services, Other",Associate Degree,0,0,0,0,0,0,40,3,21,14
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-TROY,Services,"Services, Other",Less than One-Year Award,0,0,0,0,0,0,19,21,16,7
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-TROY,Services,"Services, Other",One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,21
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-TROY,Trades and Repair Technicians,Mechanic and Repair Technologies,Associate Degree,0,0,0,0,0,0,0,0,0,21
"Private, For-Profit",MIAMI-JACOBS CAREER COLLEGE-TROY,Trades and Repair Technicians,Mechanic and Repair Technologies,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,5
"Private, For-Profit",NATIONAL COLLEGE-COLUMBUS,Business,Management,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",NATIONAL COLLEGE-COLUMBUS,Health,Health Administration and Management,Less than One-Year Award,0,0,0,0,0,0,0,0,2,4
"Private, For-Profit",NATIONAL COLLEGE-COLUMBUS,Health,Health Administration and Management,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",NATIONAL COLLEGE-COLUMBUS,Health,Health Information and Insurance,Associate Degree,0,0,0,0,0,0,0,0,0,5
"Private, For-Profit",NATIONAL COLLEGE-WILLOUGHBY HILLS,Business,Management,Less than One-Year Award,0,0,0,0,0,0,0,0,0,3
"Private, For-Profit",NATIONAL COLLEGE-WILLOUGHBY HILLS,Business,Management,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",NATIONAL COLLEGE-WILLOUGHBY HILLS,Health,Health Administration and Management,Less than One-Year Award,0,0,0,0,0,0,0,0,0,5
"Private, For-Profit",NATIONAL COLLEGE-WILLOUGHBY HILLS,Natural Science & Mathematics,Computer Science,Less than One-Year Award,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",NATIONAL INSTITUTE OF MASSOTHERAPY,Health,Rehabilitation Services,Associate Degree,0,0,0,0,0,6,7,9,14,13
"Private, For-Profit",NATIONAL INSTITUTE OF MASSOTHERAPY,Health,Rehabilitation Services,Less than One-Year Award,0,0,0,96,62,23,0,3,3,4
"Private, For-Profit",NATIONAL INSTITUTE OF MASSOTHERAPY,Health,Rehabilitation Services,One to less than Two-Year Award,0,0,0,0,0,15,17,16,16,17
"Private, For-Profit",OHIO BUSINESS COLLEGE,Business,Accounting,Associate Degree,7,3,10,6,5,5,4,5,10,6
"Private, For-Profit",OHIO BUSINESS COLLEGE,Business,Accounting,Less than One-Year Award,0,0,0,0,0,0,0,6,4,3
"Private, For-Profit",OHIO BUSINESS COLLEGE,Business,Accounting,One to less than Two-Year Award,0,0,0,1,3,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE,Business,Administrative and Secretarial,Associate Degree,5,6,11,4,3,4,3,1,0,5
"Private, For-Profit",OHIO BUSINESS COLLEGE,Business,Administrative and Secretarial,Less than One-Year Award,0,0,0,0,0,1,4,2,0,4
"Private, For-Profit",OHIO BUSINESS COLLEGE,Business,Administrative and Secretarial,One to less than Two-Year Award,0,0,0,0,4,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE,Business,Finance,Associate Degree,0,0,0,0,0,0,2,1,1,1
"Private, For-Profit",OHIO BUSINESS COLLEGE,Business,Human Resources Management and Labor Studies,Associate Degree,0,0,0,0,0,2,2,3,10,10
"Private, For-Profit",OHIO BUSINESS COLLEGE,Business,Management,Associate Degree,9,7,10,12,17,16,8,13,17,19
"Private, For-Profit",OHIO BUSINESS COLLEGE,Engineering,Computer Engineering Technology,Associate Degree,0,0,0,0,0,0,0,0,4,0
"Private, For-Profit",OHIO BUSINESS COLLEGE,Engineering,Computer Engineering Technology,Less than One-Year Award,0,0,0,0,0,3,0,7,7,0
"Private, For-Profit",OHIO BUSINESS COLLEGE,Engineering,Computer Engineering Technology,One to less than Two-Year Award,0,0,1,0,3,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE,Health,Health Administration and Management,Associate Degree,0,8,10,9,22,16,10,25,22,33
"Private, For-Profit",OHIO BUSINESS COLLEGE,Health,Health Administration and Management,Less than One-Year Award,0,0,0,0,0,8,7,25,40,31
"Private, For-Profit",OHIO BUSINESS COLLEGE,Health,Health Administration and Management,One to less than Two-Year Award,0,1,0,5,17,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE,Health,Health Information and Insurance,Associate Degree,0,1,3,6,0,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE,Law,Legal Administrative,Associate Degree,0,1,4,0,2,4,2,4,5,12
"Private, For-Profit",OHIO BUSINESS COLLEGE,Natural Science & Mathematics,Computer Science,Associate Degree,0,3,6,2,4,3,1,1,9,13
"Private, For-Profit",OHIO BUSINESS COLLEGE,Natural Science & Mathematics,Computer Science,Less than One-Year Award,0,0,0,0,0,1,0,2,4,8
"Private, For-Profit",OHIO BUSINESS COLLEGE,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,0,0,0,0,5,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE,Natural Science & Mathematics,Geology and Hydrology,Associate Degree,7,0,0,0,0,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE,Trades and Repair Technicians,Communications Technology,Associate Degree,2,0,0,0,0,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Business,Accounting,Associate Degree,3,3,5,3,3,6,4,3,3,6
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Business,Accounting,Less than One-Year Award,0,0,0,0,0,2,0,1,4,3
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Business,Administrative and Secretarial,Associate Degree,9,8,7,10,10,6,3,6,1,1
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Business,Administrative and Secretarial,Less than One-Year Award,0,0,0,0,0,1,2,1,0,4
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Business,Administrative and Secretarial,One to less than Two-Year Award,0,4,1,2,1,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Business,Finance,Associate Degree,0,0,0,0,0,0,1,2,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Business,Human Resources Management and Labor Studies,Associate Degree,0,0,0,0,0,0,1,4,8,9
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Business,Management,Associate Degree,4,16,8,11,4,9,10,13,19,10
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Engineering,Computer Engineering Technology,Associate Degree,0,0,0,0,0,1,1,5,1,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Engineering,Computer Engineering Technology,Less than One-Year Award,0,0,0,0,0,0,1,1,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Engineering,Computer Engineering Technology,One to less than Two-Year Award,0,0,3,2,5,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Health,Health Administration and Management,Associate Degree,0,6,5,12,10,14,13,25,28,39
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Health,Health Administration and Management,Less than One-Year Award,0,0,0,0,11,4,2,11,31,29
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Health,Health Administration and Management,One to less than Two-Year Award,0,10,18,9,0,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Health,Health Aides and Assisting,Associate Degree,6,0,0,0,0,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Health,Health Aides and Assisting,Less than One-Year Award,0,0,0,0,0,0,0,10,8,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,0,0,0,0,11,95,113
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Health,Health Information and Insurance,Associate Degree,0,0,0,0,1,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Law,Legal Administrative,Associate Degree,0,3,2,8,2,3,2,6,11,14
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Natural Science & Mathematics,Computer Science,Associate Degree,2,4,4,6,3,2,4,8,5,14
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Natural Science & Mathematics,Computer Science,Less than One-Year Award,0,0,2,1,2,0,2,0,1,2
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,0,0,8,4,0,0,0,0,0,0
"Private, For-Profit",OHIO BUSINESS COLLEGE-SHEFFIELD,Social & Behavioral Sciences,Family and Consumer Studies,Associate Degree,5,0,0,0,0,0,0,0,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS,Health,Health Administration and Management,Less than One-Year Award,0,0,39,67,13,9,0,0,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS,Health,Health Administration and Management,One to less than Two-Year Award,0,0,0,0,19,7,19,0,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS,Health,Health Aides and Assisting,Associate Degree,0,0,0,0,8,6,0,0,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS,Health,Health Aides and Assisting,Less than One-Year Award,0,0,186,318,118,95,95,0,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,0,81,94,51,0,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS,Health,Rehabilitation Services,One to less than Two-Year Award,0,0,0,0,0,0,8,0,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS-SHEFFIELD VILLAGE,Health,Health Administration and Management,One to less than Two-Year Award,0,0,0,0,24,27,35,4,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS-SHEFFIELD VILLAGE,Health,Health Aides and Assisting,Associate Degree,0,0,0,0,3,6,0,0,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS-SHEFFIELD VILLAGE,Health,Health Aides and Assisting,Less than One-Year Award,0,0,0,0,0,26,28,6,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS-SHEFFIELD VILLAGE,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,0,96,55,59,48,0,0
"Private, For-Profit",OHIO INSTITUTE OF HEALTH CAREERS-SHEFFIELD VILLAGE,Health,Rehabilitation Services,One to less than Two-Year Award,0,0,0,0,0,0,24,12,0,0
"Private, For-Profit",OHIO TECHNICAL COLLEGE,Trades and Repair Technicians,Mechanic and Repair Technologies,Associate Degree,14,13,14,47,57,57,68,54,97,151
"Private, For-Profit",OHIO TECHNICAL COLLEGE,Trades and Repair Technicians,Mechanic and Repair Technologies,Less than One-Year Award,16,5,9,6,11,5,17,11,8,27
"Private, For-Profit",OHIO TECHNICAL COLLEGE,Trades and Repair Technicians,Mechanic and Repair Technologies,One to less than Two-Year Award,120,81,64,129,150,167,281,0,0,2
"Private, For-Profit",OHIO TECHNICAL COLLEGE,Trades and Repair Technicians,Mechanic and Repair Technologies,Two to less than Four-Year Award,0,72,84,57,96,140,124,288,298,291
"Private, For-Profit",OHIO TECHNICAL COLLEGE,Trades and Repair Technicians,Production Technology,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,30
"Private, For-Profit",OHIO TECHNICAL COLLEGE,Trades and Repair Technicians,Transportation and Moving,Less than One-Year Award,326,203,166,116,87,56,37,46,0,0
"Private, For-Profit",OHIO TECHNICAL COLLEGE DBA POWERSPORT INSTITUTE LC,Trades and Repair Technicians,Mechanic and Repair Technologies,Associate Degree,0,0,0,0,0,0,0,0,0,34
"Private, For-Profit",OHIO TECHNICAL COLLEGE DBA POWERSPORT INSTITUTE LC,Trades and Repair Technicians,Mechanic and Repair Technologies,One to less than Two-Year Award,0,0,0,0,0,0,0,112,158,96
"Private, For-Profit",OHIO TECHNICAL COLLEGE DBA POWERSPORT INSTITUTE LC,Trades and Repair Technicians,Mechanic and Repair Technologies,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,0,87
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Business,Accounting,Associate Degree,10,10,7,4,1,7,8,12,3,0
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Business,Administrative and Secretarial,Associate Degree,1,0,0,0,0,0,0,0,0,0
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Business,Management,Associate Degree,0,0,0,0,0,0,0,0,0,8
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Health,Health Administration and Management,Associate Degree,2,12,11,10,13,8,15,12,21,70
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Health,Health Administration and Management,One to less than Two-Year Award,3,1,3,2,0,0,0,0,0,0
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Health,Health Aides and Assisting,Associate Degree,32,34,39,40,57,47,34,23,47,9
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Health,Health Aides and Assisting,One to less than Two-Year Award,0,2,1,0,0,0,0,0,0,0
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Natural Science & Mathematics,Computer Science,Associate Degree,15,17,12,13,12,10,10,9,10,18
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,0,0,1,0,0,0,0,0,0,0
"Private, For-Profit",OHIO VALLEY COLLEGE OF TECHNOLOGY,Natural Science & Mathematics,Geology and Hydrology,One to less than Two-Year Award,2,0,0,0,0,0,0,0,0,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Business,Administrative and Secretarial,One to less than Two-Year Award,14,0,0,0,0,0,0,0,0,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Health Administration and Management,Associate Degree,0,0,0,0,16,9,0,0,0,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Health Administration and Management,Less than One-Year Award,0,1,0,0,0,0,0,0,0,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Health Administration and Management,One to less than Two-Year Award,8,6,6,2,3,6,1,2,1,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Health Aides and Assisting,Associate Degree,0,0,0,0,0,0,6,4,5,2
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Health Aides and Assisting,One to less than Two-Year Award,27,39,30,22,16,23,20,20,22,10
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Health Information and Insurance,Associate Degree,0,0,0,4,6,0,0,0,0,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Health Information and Insurance,One to less than Two-Year Award,0,16,23,18,11,6,16,10,12,8
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Laboratory Technology,Less than One-Year Award,18,0,0,0,0,0,0,0,0,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Laboratory Technology,One to less than Two-Year Award,0,26,31,14,0,0,0,0,0,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Licensed Practical Nurse,One to less than Two-Year Award,0,8,60,78,90,84,120,140,149,120
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Other Health,One to less than Two-Year Award,0,0,0,0,0,18,0,0,0,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Physical Therapy,Associate Degree,0,0,0,3,7,8,7,12,34,52
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Health,Rehabilitation Services,One to less than Two-Year Award,0,10,0,8,0,0,0,0,0,0
"Private, For-Profit",PROFESSIONAL SKILLS INSTITUTE,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,28,31,8,10,0,0,0,0,0,0
"Private, For-Profit",QUEST CAREER COLLEGE,Natural Science & Mathematics,Computer Science,Associate Degree,0,22,23,8,0,0,0,0,0,0
"Private, For-Profit",QUEST CAREER COLLEGE,Natural Science & Mathematics,Computer Science,Less than One-Year Award,0,32,17,13,0,0,0,0,0,0
"Private, For-Profit",QUEST CAREER COLLEGE,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,0,52,8,10,9,0,0,0,0,0
"Private, For-Profit",QUEST CAREER COLLEGE,Natural Science & Mathematics,Science Technicians,Associate Degree,0,0,4,9,1,0,0,0,0,0
"Private, For-Profit",QUEST CAREER COLLEGE,Natural Science & Mathematics,Science Technicians,One to less than Two-Year Award,0,6,1,1,0,0,0,0,0,0
"Private, For-Profit",QUEST CAREER COLLEGE,Trades and Repair Technicians,Communications Technology,Less than One-Year Award,0,0,2,1,0,0,0,0,0,0
"Private, For-Profit",QUEST CAREER COLLEGE,Trades and Repair Technicians,Communications Technology,One to less than Two-Year Award,0,0,2,2,0,0,0,0,0,0
"Private, For-Profit",QUEST CAREER COLLEGE,Trades and Repair Technicians,Mechanic and Repair Technologies,One to less than Two-Year Award,0,0,0,2,0,0,0,0,0,0
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Business,Computer and Quantitative Business Fields,Associate Degree,0,33,0,0,0,0,0,0,0,0
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Business,Management,Associate Degree,0,0,140,56,32,28,14,22,3,17
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Engineering,Electrical Engineering Technology,One to less than Two-Year Award,0,0,0,0,0,0,0,6,13,23
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Health,Health Aides and Assisting,Less than One-Year Award,181,341,378,222,189,229,152,132,158,125
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,18
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Health,Health Information and Insurance,Less than One-Year Award,0,0,18,80,97,105,82,51,72,69
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Health,Pharmacy,Less than One-Year Award,0,0,10,44,40,38,32,27,46,47
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Natural Science & Mathematics,Computer Science,Associate Degree,81,110,17,74,47,27,24,15,11,17
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Services,Protective Services,Associate Degree,0,0,0,0,21,54,41,40,26,23
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Services,"Services, Other",One to less than Two-Year Award,0,0,0,0,0,0,0,0,49,60
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND CAMPUS,Social & Behavioral Sciences,Family and Consumer Studies,Associate Degree,29,0,0,0,0,0,0,0,0,0
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND WEST CAMPUS,Business,Computer and Quantitative Business Fields,Associate Degree,0,0,0,0,11,18,0,0,0,0
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND WEST CAMPUS,Business,Management,Associate Degree,0,0,0,0,0,0,3,11,5,12
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND WEST CAMPUS,Engineering,Electrical Engineering Technology,One to less than Two-Year Award,0,0,0,0,0,0,0,0,5,0
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND WEST CAMPUS,Health,Health Aides and Assisting,Less than One-Year Award,0,0,1,239,282,237,181,152,164,147
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND WEST CAMPUS,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,3
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND WEST CAMPUS,Health,Health Information and Insurance,Less than One-Year Award,0,0,0,0,0,71,63,54,59,62
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND WEST CAMPUS,Health,Pharmacy,Less than One-Year Award,0,0,0,46,45,42,28,38,70,85
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND WEST CAMPUS,Natural Science & Mathematics,Computer Science,Associate Degree,0,0,0,0,0,11,15,8,10,11
"Private, For-Profit",REMINGTON COLLEGE-CLEVELAND WEST CAMPUS,Services,Protective Services,Associate Degree,0,0,0,0,16,32,17,24,9,20
"Private, For-Profit",SANFORD-BROWN COLLEGE,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,0,0,0,0,500,670,454
"Private, For-Profit",SANFORD-BROWN COLLEGE,Health,Health Information and Insurance,One to less than Two-Year Award,0,0,0,0,0,0,0,80,130,75
"Private, For-Profit",SANFORD-BROWN COLLEGE,Health,Other Health,Associate Degree,0,0,0,0,0,0,0,30,29,11
"Private, For-Profit",SANFORD-BROWN COLLEGE,Health,Other Health,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,8
"Private, For-Profit",SANFORD-BROWN COLLEGE,Health,Pharmacy,One to less than Two-Year Award,0,0,0,0,0,0,0,32,26,46
"Private, For-Profit",SANFORD-BROWN COLLEGE,Health,Radiology and Sonography,Associate Degree,0,0,0,0,0,0,0,0,0,6
"Private, For-Profit",SANFORD-BROWN COLLEGE,Health,Radiology and Sonography,Two to less than Four-Year Award,0,0,0,0,0,0,0,17,23,18
"Private, For-Profit",SANFORD-BROWN COLLEGE,Health,Rehabilitation Services,One to less than Two-Year Award,0,0,0,0,0,0,0,34,37,38
"Private, For-Profit",SCHOOL OF ADVERTISING ART INC,Arts & Humanities,Design,Associate Degree,38,43,46,46,38,54,47,46,39,34
"Private, For-Profit",SCHOOL OF ADVERTISING ART INC,Arts & Humanities,Design,Two to less than Four-Year Award,10,0,6,6,2,11,4,4,12,8
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Business,Accounting,Associate Degree,0,0,0,2,2,4,3,1,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Business,Accounting,Less than One-Year Award,5,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Business,Accounting,One to less than Two-Year Award,7,9,3,8,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Business,Administrative and Secretarial,Associate Degree,1,1,0,0,1,1,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Business,Management,Associate Degree,4,1,1,6,7,17,33,48,42,67
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Health Administration and Management,Associate Degree,0,1,6,5,3,0,0,0,86,176
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Health Administration and Management,Less than One-Year Award,1,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Health Administration and Management,One to less than Two-Year Award,2,3,6,25,56,66,113,161,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Health Aides and Assisting,Associate Degree,1,4,0,7,16,54,97,195,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Health Aides and Assisting,Less than One-Year Award,17,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Health Aides and Assisting,One to less than Two-Year Award,18,45,41,58,58,68,77,117,0,197
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Health Aides and Assisting,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,56,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Health Information and Insurance,One to less than Two-Year Award,0,0,0,0,0,20,14,32,0,173
